tweet_id,retweet_count,favorite_count
852311364735569921,9462,31894
852226086759018497,6520,19257
852189679701164033,1511,11042
851861385021730816,19,0
851591660324737024,3306,15693
851464819735769094,6743,23392
851224888060895234,5483,19974
850753642995093505,8675,29697
850380195714523136,2488,12662
850333567704068097,314,3339
850145622816686080,3624,15787
850019790995546112,4659,19739
849776966551130114,7259,29375
849668094696017920,4753,0
849412302885593088,3015,15367
849336543269576704,1815,11062
849051919805034497,8116,41005
848690551926992896,4158,24416
848324959059550208,4447,23960
848213670039564288,693,7916
848212111729840128,2903,15820
847978865427394560,3136,0
847971574464610304,420,0
847962785489326080,4876,22843
847842811428974592,1270,5259
847617282490613760,396,6778
847606175596138505,3297,18240
847251039262605312,4164,19930
847157206088847362,5637,19304
847116187444137987,3063,20869
846874817362120707,3773,19508
846514051647705089,11095,43320
846505985330044928,2953,13724
846153765933735936,8689,30685
846139713627017216,9700,30205
846042936437604353,2760,15547
845812042753855489,8366,28440
845677943972139009,4637,24543
845397057150107648,1724,7423
845306882940190720,5188,22735
845098359547420673,7399,0
844979544864018432,2459,13305
844973813909606400,3062,14660
844580511645339650,3008,16045
844223788422217728,2111,13335
843981021012017153,2853,14813
843856843873095681,4468,20940
843604394117681152,2650,16485
843235543001513987,5815,20996
842846295480000512,3514,14941
842765311967449089,1228,6566
842535590457499648,3400,17707
842163532590374912,5597,23897
842115215311396866,2925,13659
841833993020538882,14567,0
841680585030541313,7584,25198
841439858740625411,3561,12352
841320156043304961,5341,19369
841314665196081154,4508,15508
841077006473256960,5149,22357
840761248237133825,1713,0
840728873075638272,15590,0
840698636975636481,2,172
840696689258311684,945,12025
840632337062862849,1713,8810
840370681858686976,4428,16102
840268004936019968,5560,18860
839990271299457024,2209,13162
839549326359670784,7536,26911
839290600511926273,140,0
839239871831150596,6355,26572
838952994649550848,3888,19277
838921590096166913,1994,10917
838916489579200512,33,0
838831947270979586,10717,0
838561493054533637,1296,10755
838476387338051585,4644,22049
838201503651401729,9775,0
838150277551247360,324,1637
838085839343206401,1,138
838083903487373313,3041,17319
837820167694528512,7662,33440
837482249356513284,434,3796
837471256429613056,2216,12570
837110210464448512,2310,15751
836989968035819520,2250,12529
836753516572119041,4542,19025
836677758902222849,2179,12422
836648853927522308,541,0
836397794269200385,26858,0
836380477523124226,2922,14525
836260088725786625,4213,20966
836001077879255040,4165,18768
835685285446955009,7953,0
835574547218894849,3541,17511
835536468978302976,1655,0
835309094223372289,20453,0
835297930240217089,2934,16218
835264098648616962,1655,7605
835246439529840640,72,2062
835172783151792128,5639,25758
835152434251116546,2936,22014
834931633769889797,1596,10626
834786237630337024,5392,21089
834574053763584002,2468,13436
834477809192075265,10422,0
834458053273591808,1641,9486
834209720923721728,4639,20251
834167344700198914,3586,15584
834089966724603904,2092,9888
834086379323871233,2161,12864
833863086058651648,2359,13240
833826103416520705,3699,17827
833732339549220864,219,0
833722901757046785,3161,20539
833479644947025920,2008,14652
833124694597443584,4753,19914
832998151111966721,2154,13060
832769181346996225,39,0
832757312314028032,3545,16644
832682457690300417,2856,11706
832645525019123713,523,2890
832636094638288896,2730,15638
832397543355072512,2167,11803
832369877331693569,3136,16947
832273440279240704,2289,11186
832215909146226688,6094,0
832215726631055365,9149,0
832088576586297345,2,62
832040443403784192,9422,0
832032802820481025,4579,17622
831939777352105988,6018,23667
831926988323639298,34,332
831911600680497154,6371,27216
831670449226514432,1780,10288
831650051525054464,1882,7026
831552930092285952,2280,8859
